Nome;Idade;Cpf;Rg;DataNasc;Sexo;Signo;NomeMae;NomePai;Email;Senha;Cep;Endereco;Numero;Bairro;Cidade;Estado;TelefoneFixo;Celular;Altura;Peso;TipoSanguineo
Mateus Heitor Cauê Moreira;80;39445163540;507371902;09/05/1943;Masculino;Touro;Gabriela Sophie;Emanuel Oliver Ricardo Moreira;mateus_heitor_moreira@sobraer.com.br;H6xs8LG1La;65913000;Rua Luís Domingues;911;Entroncamento;Imperatriz;MA;9826779633;98993588196;1,77;97;A-
Rebeca Esther Gabriela Ribeiro;52;02557319813;286179775;26/03/1971;Feminino;Áries;Nina Gabrielly Tereza;Julio Anderson Ribeiro;rebeca.esther.ribeiro@hawk.com.br;QLgLIJd3zj;61919220;Rua D;394;Novo Oriente;Maracanaú;CE;8528910390;85993609014;1,64;64;A-
Amanda Betina Rafaela Gomes;53;32745803093;229567794;03/10/1970;Feminino;Libra;Antonella Laís;Nelson Kaique Gomes;amandabetinagomes@yahooo.com.br;mu7i8UaGzr;57075483;Travessa Inailda Félix de Oliveira Santos;115;Santos Dumont;Maceió;AL;8225943402;82987835080;1,71;77;B-
Tereza Liz Costa;68;19686057030;286365649;13/07/1955;Feminino;Câncer;Daiane Emily Caroline;Samuel Kevin Kaique Costa;tereza_costa@iega.com.br;6TOCLsPCWQ;96200300;Rua Doutor Nascimento;839;Centro;Rio Grande;RS;5335520425;53983057483;1,76;49;A+
Edson Raul Carlos Santos;65;52474256423;483914794;05/07/1958;Masculino;Câncer;Caroline Teresinha Regina;Marcos Rafael Santos;edsonraulsantos@cvc.com.br;ec21wjJZg6;65010440;Rua da Palma;181;Centro;São Luís;MA;9839449607;98986365117;1,77;62;B-
Nina Débora Galvão;25;05356349947;257026952;15/08/1998;Feminino;Leão;Louise Simone Olivia;Victor Renato Severino Galvão;nina_galvao@solviagens.com;SBSqou6tqU;77066042;Rua Jatobá;608;Setor Morada do Sol (Taquaralto);Palmas;TO;6326266006;63997683424;1,81;87;O-
Márcia Clarice Rita Aparício;75;06865891147;225564920;10/06/1948;Feminino;Gêmeos;Luana Benedita Kamilly;Manoel Martin Aparício;marcia_clarice_aparicio@taclog.com.br;0c3A4PO4Lk;65090690;Rua Clube das Mães;131;Vila Sarney;São Luís;MA;9837978325;98993630112;1,69;70;O-
Hadassa Kamilly Evelyn Almeida;66;53252842408;143232824;19/08/1957;Feminino;Leão;Alana Rebeca;Felipe Thiago Luís Almeida;hadassa_kamilly_almeida@fileno.com.br;xGhmlL870o;65040873;Rua Olavo Bilac;832;Vila dos Frades;São Luís;MA;9828477298;98981397349;1,51;79;O+
Flávia Tânia Fernandes;61;52750630835;390015945;14/01/1962;Feminino;Capricórnio;Vitória Manuela;Gustavo Gabriel Fernandes;flavia-fernandes86@maliziaarranjosflorais.com.br;njgH2wR95b;29135425;Rua Santo André;600;Marcílio de Noronha;Viana;ES;2735132682;27996146709;1,58;71;AB+
Gustavo Benjamin Freitas;74;33242073550;365054987;27/07/1949;Masculino;Leão;Rayssa Emily;Juan Cauã Freitas;gustavobenjaminfreitas@infonet.com.br;KRHItA47QL;77001424;Quadra 307 Norte Alameda 21;541;Plano Diretor Norte;Palmas;TO;6337538192;63997859255;1,94;98;A+
Bárbara Maitê Vieira;44;15562607255;324639260;23/02/1979;Feminino;Peixes;Márcia Luciana Jennifer;Fernando Yuri Lorenzo Vieira;barbara.maite.vieira@galvao.com;CHh95IoBiP;56903270;Rua Severino Pereira Lins;616;Nossa Senhora da Conceição;Serra Talhada;PE;8737144202;87988893147;1,56;51;AB+
Jorge Julio Almada;29;00854670300;236030243;14/05/1994;Masculino;Touro;Ester Renata;Luan Danilo Almada;jorge-almada86@konzeption.com.br;mt5tqn83rl;84126970;Rua Principal, s/n;236;Centro;Cerrado Grande;PR;4238373354;42985424117;1,64;88;A-
Fábio Gabriel Figueiredo;36;40012650013;485125675;14/05/1987;Masculino;Touro;Sophia Camila Kamilly;Matheus Miguel Fábio Figueiredo;fabio_gabriel_figueiredo@eguia.com.br;5dtJUX3zDH;37904238;Rua Itabira;735;Jardim Califórnia;Passos;MG;3529151329;35982854946;1,79;69;A+
João Nicolas Rocha;40;61663114609;196911679;22/04/1983;Masculino;Touro;Bruna Stella Cecília;Ruan Francisco Rocha;joao.nicolas.rocha@expressotaubate.com.br;I9OKA2ytck;37022520;Rua Amélia Vasconcelos Rubião;310;Santa Maria;Varginha;MG;3539491801;35999349927;1,76;81;AB-
Lorena Priscila Beatriz da Paz;67;48063238885;102076558;11/08/1956;Feminino;Leão;Hadassa Maya Cecília;Bernardo Benjamin Elias da Paz;lorena_priscila_dapaz@belaggiovini.com.br;SsLYBjY8gI;49090570;Rua C3;855;Bugio;Aracaju;SE;7939681476;79983054078;1,64;86;B+
Eloá Esther Mariah Duarte;68;35846858856;198499474;01/10/1955;Feminino;Libra;Esther Elaine Betina;Cauê Ryan Vitor Duarte;eloa.esther.duarte@buzatto.pro;G7JF1CMrlf;36032340;Rua Maria de Lourdes Oliveira;748;Santa Efigênia;Juiz de Fora;MG;3239049205;32993062172;1,62;75;O-
Jéssica Liz da Cunha;52;35673446764;337649091;20/06/1971;Feminino;Gêmeos;Catarina Nina;Caleb Lorenzo José da Cunha;jessicalizdacunha@enable.com.br;tdcjUIAG7P;74968132;Avenida Joaquim Barbosa;703;Jardim Ipiranga - Continuação;Aparecida de Goiânia;GO;6238117082;62983809079;1,62;77;O-
Lívia Aline Andrea da Rocha;20;98547476032;450157064;06/10/2003;Feminino;Libra;Beatriz Nicole Débora;Bryan Benjamin da Rocha;livia_darocha@antunez.com.br;AOAxQ1IgYr;77001566;Quadra 407 Norte Alameda 4;654;Plano Diretor Norte;Palmas;TO;6328313261;63989061884;1,80;66;AB+
Liz Allana Lúcia Carvalho;76;91078768668;449422616;04/10/1947;Feminino;Libra;Aurora Silvana Manuela;Murilo Bento Carvalho;liz.allana.carvalho@wizardsjc.com.br;jein5LGad1;77402170;Rua 3-A;683;Muniz Santana;Gurupi;TO;6337268745;63997522200;1,65;59;B+
Aline Liz Cardoso;57;67917540286;320670168;10/07/1966;Feminino;Câncer;Letícia Marli;Ricardo Oliver Cardoso;alinelizcardoso@advocaciand.adv.br;pyLpZIaXRN;79840485;Rua Pedro de Alencar;251;Canaã III;Dourados;MS;6727600888;67995344934;1,65;80;A+
Raimunda Jaqueline Allana Rocha;36;23228817911;281720174;03/02/1987;Feminino;Aquário;Emily Beatriz;Paulo Luan Rocha;raimundajaquelinerocha@hotmail.fr;aDW6yYxngc;37006780;Rua Antônio Penha;506;Parque Catanduvas;Varginha;MG;3537843729;35981631725;1,78;84;B+
Evelyn Liz Luiza Fogaça;34;30197906540;403043669;21/04/1989;Feminino;Touro;Stefany Vanessa;Sérgio Matheus Alexandre Fogaça;evelyn_fogaca@sadefem.com.br;75MK7yhraI;69909800;Ramal da Escola;365;Vila Acre;Rio Branco;AC;6829454427;68991159644;1,51;86;B+
Leandro Fernando Lorenzo de Paula;21;01126846295;114829755;18/03/2002;Masculino;Peixes;Rosângela Sophia Priscila;Osvaldo Giovanni José de Paula;leandro_fernando_depaula@charquesorocaba.com.br;tHx6Mf7net;37900133;Rua João Pinheiro;810;Centro;Passos;MG;3526238264;35993225209;1,98;82;B-
Severino Vinicius Anderson Ramos;80;92606065867;179748762;08/01/1943;Masculino;Capricórnio;Daniela Manuela Carla;Guilherme Raimundo Daniel Ramos;severino_vinicius_ramos@steadyoffice.com.br;L2wqk23HqW;91720580;Rua Alcebíades Antônio dos Santos;899;Nonoai;Porto Alegre;RS;5128583375;51993821546;1,62;102;AB-
Henry Henry Iago Nascimento;45;12893155154;157829480;02/07/1978;Masculino;Câncer;Tatiane Lorena;Kaique Caleb Lucca Nascimento;henry.henry.nascimento@netwis.com.br;L8PfJrkn44;78132698;Rua Jordana;509;Primavera;Várzea Grande;MT;6529807090;65994340336;1,72;81;AB+
Geraldo Antonio Mendes;73;61823982727;473099275;26/10/1950;Masculino;Escorpião;Josefa Manuela Priscila;Nicolas Enzo Thiago Mendes;geraldo-mendes79@gruporeis.net;brOOapMBAn;89224414;Avenida Arnoldo Lúcio de Oliveira;913;Jardim Iririú;Joinville;SC;4726361767;47991155394;1,94;88;AB-
Julia Cristiane Teresinha da Cunha;65;18532640672;134655394;01/02/1958;Feminino;Aquário;Analu Raquel;Matheus Heitor Erick da Cunha;julia-dacunha80@yazigi.com;TG7RkofeiQ;85509520;Rua Amadeu Pereira;393;Alto da Glória;Pato Branco;PR;4628681700;46983579638;1,65;90;O+
Bento Raimundo Nunes;66;03012350152;110208456;13/02/1957;Masculino;Aquário;Clara Clarice;Luís Raimundo Nunes;bento-nunes97@sent.com;QrRxR2K2qJ;76907836;Rua dos Colegiais;971;Parque São Pedro;Ji-Paraná;RO;6937869698;69995871584;1,98;86;B-
Regina Laís Monteiro;47;67406270100;437048135;01/10/1976;Feminino;Libra;Tatiane Vanessa;Erick Calebe Monteiro;regina_monteiro@compecia.com.br;WZxIAxe8sK;49072676;Rua B;641;Dezoito do Forte;Aracaju;SE;7936172306;79998296754;1,77;58;A+
Miguel Daniel Pires;71;58678766328;169214138;23/06/1952;Masculino;Câncer;Alessandra Josefa Daniela;Severino Gael Rafael Pires;miguel_pires@yahoo.com;GiJTOTXEuf;69918026;Rua Tijuca;766;Conjunto Mascarenha de Moraes;Rio Branco;AC;6825515991;68998266358;1,80;71;B-
Severino Igor Nathan Martins;54;81920902562;490920445;23/04/1969;Masculino;Touro;Sophie Esther;Pedro Henrique Isaac Martins;severino.igor.martins@heinrich.com.br;sbD93mnWRw;76801686;Rua Paulo Caldas;330;São Sebastião;Porto Velho;RO;6925300568;69987457954;1,93;77;AB+
Marcos Bernardo Raimundo Oliveira;73;05575628302;493331566;11/10/1950;Masculino;Libra;Bianca Nicole;Benjamin Márcio Cauã Oliveira;marcos_oliveira@doublemoore.com;SSsSocEsin;75023120;Rua A;662;Setor Central;Anápolis;GO;6225049446;62998188248;1,94;54;B+
Julia Silvana Vieira;19;18856887177;235831086;21/09/2004;Feminino;Virgem;Marli Alícia Julia;Carlos Ryan Marcos Vinicius Vieira;julia_vieira@microdoc.com.br;7m7UUyO8l8;79084251;Travessa Aziole Corrêa;210;Conjunto Aero Rancho;Campo Grande;MS;6725520178;67982477973;1,64;58;B+
Cauê Levi Heitor Novaes;67;24975096200;504546533;08/02/1956;Masculino;Aquário;Lívia Elisa;Benício Rodrigo Renato Novaes;caue_levi_novaes@asconnet.com.br;koaN0YdJx1;11442280;Rua Lindolfo de Freitas;894;Jardim Virgínia;Guarujá;SP;1325254657;13996996444;1,89;63;A+
Ruan Gael Eduardo Rodrigues;37;04460493527;355829769;27/01/1986;Masculino;Aquário;Elisa Aurora Lúcia;Bento Mateus Ricardo Rodrigues;ruan-rodrigues93@cuppari.com.br;etcAM0mL84;53640670;Rua João Paulino da Silva;799;Agamenon Magalhães;Igarassu;PE;8129656999;81995441441;1,72;68;AB+
Geraldo Cláudio Campos;24;75853878069;137930616;21/09/1999;Masculino;Virgem;Juliana Alana;Gabriel Hugo Campos;geraldo.claudio.campos@gmail.com;HiHPr5Owns;71591275;Quadra 25;733;Del Lago I (Itapoã);Brasília;DF;6128206982;61983376843;1,88;73;A-
Alana Stella da Mata;77;15094832506;186434443;27/05/1946;Feminino;Gêmeos;Tânia Maitê Laura;Cauã Rodrigo da Mata;alanastelladamata@retrosfessa.com.br;sFD9iIGBWg;56312390;Rua João de Souza;369;São Gonçalo;Petrolina;PE;8736967445;87991293231;1,85;70;AB+
Enzo Bernardo Benício Castro;54;25548369903;320431149;25/01/1969;Masculino;Aquário;Sophia Marcela;Levi Enrico Diogo Castro;enzo_bernardo_castro@jp.ind.br;wSmAORW1YL;83605300;Rua da Liberdade;701;Jardim Rivabem;Campo Largo;PR;4136834235;41987470734;1,90;53;AB-
Sérgio Marcos Vinicius Jorge da Mota;34;04754839366;340437510;04/06/1989;Masculino;Gêmeos;Eduarda Beatriz Carolina;Fernando Sérgio Daniel da Mota;sergio_marcos_damota@veraparodi.com.br;u2ohnYlHSQ;29307305;Rua Flávio Silva;378;Alto Independência;Cachoeiro de Itapemirim;ES;2835953569;28994719900;1,86;98;AB+
Rosângela Gabriela das Neves;41;85998028600;125830713;12/04/1982;Feminino;Áries;Francisca Cristiane Fátima;Tomás Calebe Henry das Neves;rosangelagabrieladasneves@imoveisvillani.com.br;jYT4FqPkm4;59625788;Rua Aldo Bezerra da Costa;714;Presidente Costa e Silva;Mossoró;RN;8426708601;84985367571;1,61;90;A-
Vanessa Luciana Brenda Aragão;76;38572262342;269387328;16/01/1947;Feminino;Capricórnio;Lorena Rafaela Emily;Danilo Bento Aragão;vanessa_aragao@marsans.com.br;FLzzMksbyj;05448100;Rua Professor Nova Gomes;487;Vila Madalena;São Paulo;SP;1137985341;11995137586;1,83;70;O+
Teresinha Carla Gonçalves;33;81626892490;267069236;07/04/1990;Feminino;Áries;Rafaela Ayla Mariana;Noah Yuri Danilo Gonçalves;teresinha-goncalves88@franciscofilho.adv.br;uiMENhfuHS;29161791;Rua Antônio Carlos;363;Jardim Carapina;Serra;ES;2735436086;27992575931;1,74;52;B+
Vicente Bruno Henry Rezende;64;55270649500;156392215;01/11/1959;Masculino;Escorpião;Nair Analu;Kauê Miguel Murilo Rezende;vicente-rezende86@depotit.com.br;2RtbPGRIuQ;69552120;Rua Recife;859;São Francisco;Tefé;AM;9726362787;97997032491;1,79;88;A+
Emily Bárbara Pietra Viana;35;73741682926;173569614;01/11/1988;Feminino;Escorpião;Gabriela Sarah Sabrina;Bryan Ricardo Raul Viana;emilybarbaraviana@redealumni.com;LG72aGwpMy;21331630;Travessa da Fontinha;249;Bento Ribeiro;Rio de Janeiro;RJ;2138574055;21985943488;1,83;53;AB-
Pedro Bernardo Caldeira;49;95109197644;241264467;25/10/1974;Masculino;Escorpião;Fátima Rayssa;Lucca Thomas Joaquim Caldeira;pedro.bernardo.caldeira@fundamentos.com.br;IopMKAdAmX;58035100;Rua José Alfredo Nóbrega;890;Bessa;João Pessoa;PB;8339166149;83999325382;1,98;70;O-
Ricardo Carlos Cardoso;80;60301201587;309570578;01/11/1943;Masculino;Escorpião;Ayla Rafaela;Thomas Theo Julio Cardoso;ricardo_cardoso@mmarques.com;KdDzxzMIDy;76914802;Rua Doutor Osvaldo;346;Primavera;Ji-Paraná;RO;6929345796;69998235029;1,98;60;A-
Cauã Diogo Costa;75;66393036125;269616603;08/10/1948;Masculino;Libra;Nina Sophia Stefany;Hugo Noah Alexandre Costa;caua-costa80@marcenariamagno.com.br;USsScL2sHg;08160015;Rua Serra Nova;566;Jardim Bartira;São Paulo;SP;1125036196;11981067538;1,88;77;A+
Carolina Emilly Pereira;57;97206549705;495446038;25/08/1966;Feminino;Virgem;Isis Fabiana;Iago Kevin Julio Pereira;carolina-pereira94@mirafactoring.com.br;j5w2m6SD7Q;58305020;Rua Tenente Severino Pereira;876;São Bento;Bayeux;PB;8326850440;83987271337;1,58;82;AB-
Heloisa Jaqueline Agatha da Conceição;29;35913887344;319545647;03/08/1994;Feminino;Leão;Sophia Nicole Priscila;Vicente Tomás Isaac da Conceição;heloisa.jaqueline.daconceicao@mesquita.not.br;QmEGCqgtrc;74290040;Avenida C 233;383;Jardim América;Goiânia;GO;6237048970;62996624803;1,53;50;O+
Lucca Felipe Jesus;48;05122310521;366583979;07/03/1975;Masculino;Peixes;Isis Aparecida;Enzo Anthony Augusto Jesus;luccafelipejesus@aliancacadeiras.com.br;rLNFBGelEY;65074512;Rua Sessenta e Três;889;Vinhais;São Luís;MA;9829682497;98994193977;1,60;69;B-
